,score_phrase,title,url,platform,score,genre,editors_choice,release_year,release_month,release_day
172,Great,Girls Like Robots,/games/girls-like-robots/iphone-145093,iPhone,8.5,Puzzle,N,2012,10,19
173,Bad,Happy Wars,/games/happy-wars/xbox-360-64840,Xbox 360,4.0,Action,N,2012,10,19
174,Bad,007 Legends,/games/007-legends/ps3-132391,PlayStation 3,4.5,Action,N,2012,10,16
175,Amazing,Funky Smugglers,/games/funky-smugglers/iphone-145106,iPhone,9.0,Action,Y,2012,10,16
176,Okay,Colour Bind,/games/colour-bind/pc-143757,PC,6.2,,N,2012,10,15
177,Mediocre,WRC 3 FIA World Rally Championship,/games/wrc-3-fia-world-rally-championship/xbox-360-131357,Xbox 360,5.0,Racing,N,2012,10,15
178,Mediocre,WRC 3 FIA World Rally Championship,/games/wrc-3-fia-world-rally-championship/pc-131360,PC,5.0,Racing,N,2012,10,15
179,Mediocre,Retro City Rampage,/games/retro-city-rampage/ps3-128971,PlayStation 3,5.3,"Action, Adventure",N,2012,10,15
180,Mediocre,Retro City Rampage,/games/retro-city-rampage/pc-129032,PC,5.3,"Action, Adventure",N,2012,10,15
181,Great,Dance Central 3,/games/dance-central-3/xbox-360-135601,Xbox 360,8.0,Music,N,2012,10,15
182,Mediocre,WRC 3 FIA World Rally Championship,/games/wrc-3-fia-world-rally-championship/ps3-131361,PlayStation 3,5.0,Racing,N,2012,10,15
183,Mediocre,Snapshot,/games/snapshot/pc-143174,PC,5.0,Platformer,N,2012,9,17
184,Amazing,F1 2012,/games/f1-2012/ps3-130382,PlayStation 3,9.0,Racing,Y,2012,9,17
185,Great,Pro Evolution Soccer 2013,/games/pro-evolution-soccer-2013/ps3-133012,PlayStation 3,8.5,Sports,Y,2012,9,17
186,Amazing,F1 2012,/games/f1-2012/xbox-360-130379,Xbox 360,9.0,Racing,Y,2012,9,17
187,Great,Pro Evolution Soccer 2013,/games/pro-evolution-soccer-2013/pc-133014,PC,8.5,Sports,Y,2012,9,17
188,Amazing,Borderlands 2,/games/borderlands-2/xbox-360-94188,Xbox 360,9.0,"Shooter, RPG",Y,2012,9,13
189,Amazing,Borderlands 2,/games/borderlands-2/pc-94190,PC,9.0,"Shooter, RPG",Y,2012,9,13
190,Great,Joe Danger: The Movie,/games/joe-danger-the-movie/xbox-360-115463,Xbox 360,8.0,Action,N,2012,9,13
191,Amazing,Borderlands 2,/games/borderlands-2/ps3-94189,PlayStation 3,9.0,"Shooter, RPG",Y,2012,9,13
192,Amazing,Sound Shapes,/games/sound-shapes-queasy-games/ps4-20007461,PlayStation 4,9.0,Platformer,Y,2012,8,8
193,Amazing,Persona 4 Arena,/games/persona-4-arena/ps3-116910,PlayStation 3,9.0,Fighting,Y,2012,8,7
194,Amazing,Persona 4 Arena,/games/persona-4-arena/xbox-360-116913,Xbox 360,9.0,Fighting,Y,2012,8,7
195,Bad,Hell Yeah! Wrath of the Dead Rabbit,/games/hell-yeah-wrath-of-the-dead-rabbit/pc-129413,PC,4.9,Platformer,N,2012,10,4
196,Bad,Hell Yeah! Wrath of the Dead Rabbit,/games/hell-yeah-wrath-of-the-dead-rabbit/xbox-360-129412,Xbox 360,4.9,Platformer,N,2012,10,4
197,Mediocre,Retro City Rampage,/games/retro-city-rampage/vita-128972,PlayStation Vita,5.3,"Action, Adventure",N,2012,10,15
198,Amazing,The Unfinished Swan,/games/the-unfinished-swan/ps3-133433,PlayStation 3,9.0,Puzzle,Y,2012,10,14
199,Great,Tokyo Jungle,/games/tokyo-jungle-139049/ps3-85484,PlayStation 3,8.0,Adventure,N,2012,9,13
200,Amazing,Halo 4,/games/halo-4/xbox-360-110563,Xbox 360,9.8,Shooter,Y,2012,11,1
201,Amazing,Halo 4 (Limited Edition),/games/halo-4/xbox-360-134637,Xbox 360,9.8,Shooter,Y,2012,11,1
202,Good,Zone of the Enders HD Collection,/games/zone-of-the-enders-hd-collection/ps3-110049,PlayStation 3,7.0,"Action, Compilation",N,2012,11,1
203,Great,Harvest Moon: A New Beginning,/games/harvest-moon-hajimari-no-daichi/3ds-120299,Nintendo 3DS,8.3,Adventure,N,2012,11,1
204,Good,Zone of the Enders HD Collection,/games/zone-of-the-enders-hd-collection/xbox-360-110060,Xbox 360,7.0,"Action, Compilation",N,2012,11,1
205,Okay,Borderlands Legends,/games/borderlands-legends/iphone-145721,iPhone,6.5,"Action, RPG",N,2012,10,31
206,Okay,Borderlands Legends,/games/borderlands-legends/ipad-145832,iPad,6.5,"Action, RPG",N,2012,10,31
207,Amazing,Okami HD,/games/okami/ps3-136378,PlayStation 3,9.4,Adventure,Y,2012,10,30
208,Mediocre,Ragnarok Odyssey,/games/ragnarok-odyssey/vita-117348,PlayStation Vita,5.0,RPG,N,2012,10,30
209,Okay,Need for Speed Most Wanted,/games/need-for-speed-most-wanted-2012/iphone-135825,iPhone,6.9,"Racing, Action",N,2012,10,30
210,Good,Pid,/games/pid/xbox-360-124089,Xbox 360,7.8,Platformer,N,2012,10,30
211,Good,Pid,/games/pid/pc-124085,PC,7.8,Platformer,N,2012,10,30
212,Good,Pid,/games/pid/ps3-124088,PlayStation 3,7.8,Platformer,N,2012,10,30
213,Amazing,Need for Speed Most Wanted,/games/need-for-speed-most-wanted-2012/ps3-126560,PlayStation 3,9.0,"Racing, Action",Y,2012,10,30
214,Great,Assassin's Creed III,/games/assassins-creed-iii/xbox-360-128701,Xbox 360,8.5,"Action, Adventure",N,2012,10,30
215,Amazing,Need for Speed Most Wanted,/games/need-for-speed-most-wanted-2012/xbox-360-135486,Xbox 360,9.0,"Racing, Action",Y,2012,10,30
216,Good,Assassin's Creed III: Liberation,/games/assassins-creed-vita/vita-115670,PlayStation Vita,7.2,Action,N,2012,10,30
217,Great,Smart As...,/games/smart-as-135038/vita-98920,PlayStation Vita,8.5,"Educational, Puzzle",N,2012,10,30
218,Great,Assassin's Creed III,/games/assassins-creed-iii/ps3-128700,PlayStation 3,8.5,"Action, Adventure",N,2012,10,30
219,Amazing,Need for Speed Most Wanted,/games/need-for-speed-most-wanted-2012/pc-135628,PC,9.0,"Racing, Action",Y,2012,10,30
220,Great,WWE '13,/games/wwe-13/ps3-127917,PlayStation 3,8.4,Wrestling,N,2012,10,29
221,Okay,Street Fighter x Tekken,/games/street-fighter-x-tekken/vita-110720,PlayStation Vita,6.6,Fighting,N,2012,10,29
222,Great,WWE '13,/games/wwe-13/xbox-360-127923,Xbox 360,8.4,Wrestling,N,2012,10,29
223,Good,Chivalry: Medieval Warfare,/games/chivalry-medieval-warfare-142591/pc-75122,PC,7.9,Adventure,N,2012,10,29
224,Good,Sonic Jump,/games/sonic-jump-2012/iphone-144482,iPhone,7.5,Platformer,N,2012,10,29
225,Mediocre,F1 Race Stars,/games/f1-race-stars/xbox-360-137846,Xbox 360,5.2,Racing,N,2012,11,13
